Symbol,Ticker,Company Name,Index Category,Cap Type,Sector,PE Ratio,ROE %,Debt/Equity,Revenue Growth %,Profit Growth %,PE Score,ROE Score,DE Score,RevG Score,ProfG Score,Fund Score,Fund Grade,Threshold PE,Threshold ROE,Threshold DE,Scored On
360ONE,360ONE.NS,,,Mid,Financial Services,37.74,,147.24,30.6,12.4,1,0,0,1,1,3,MODERATE ⭐⭐,40,15,1.0,2026-03-03
3MINDIA,3MINDIA.NS,,,Mid,Industrials,106.38,,6.42,12.7,,0,0,0,1,0,1,SOFT ⭐,40,15,1.0,2026-03-03
AADHARHFC,AADHARHFC.NS,,,Mid,Financial Services,19.42,,255.35,20.0,17.3,1,0,0,1,1,3,MODERATE ⭐⭐,40,15,1.0,2026-03-03
AARTIIND,AARTIIND.NS,,,Mid,Basic Materials,41.67,,69.56,26.0,188.2,0,0,0,1,1,2,SOFT ⭐,40,15,1.0,2026-03-03
AAVAS,AAVAS.NS,,,Mid,Financial Services,15.82,,307.97,17.8,15.6,1,0,0,1,1,3,MODERATE ⭐⭐,40,15,1.0,2026-03-03
ABB,ABB.NS,,,Mid,Industrials,75.75,22.39,1.08,5.7,-18.0,0,1,0,0,0,1,SOFT ⭐,40,15,1.0,2026-03-03
ABBOTINDIA,ABBOTINDIA.NS,,,Mid,Healthcare,37.31,,4.55,6.8,4.2,1,0,0,0,0,1,SOFT ⭐,40,15,1.0,2026-03-03
ABCAPITAL,ABCAPITAL.NS,,,Mid,Financial Services,25.52,,459.78,31.4,32.7,1,0,0,1,1,3,MODERATE ⭐⭐,40,15,1.0,2026-03-03
ABFRL,ABFRL.NS,,,Mid,Consumer Cyclical,,,84.68,-45.6,,0,0,0,0,0,0,AVOID ❌,40,15,1.0,2026-03-03
ABLBL,ABLBL.NS,,,Mid,Consumer Cyclical,,,266.81,9.6,-5.1,0,0,0,0,0,0,AVOID ❌,40,15,1.0,2026-03-03
ABREL,ABREL.NS,,,Mid,Real Estate,,,144.58,-91.5,,0,0,0,0,0,0,AVOID ❌,40,15,1.0,2026-03-03
ABSLAMC,ABSLAMC.NS,,,Mid,Financial Services,24.94,,1.93,16.3,20.0,1,0,0,1,1,3,MODERATE ⭐⭐,40,15,1.0,2026-03-03
