Symbol,Ticker,Company Name,Index Category,Cap Type,Sector,Industry,Market Cap (Cr),Last Close,PE Ratio,Book Value,Dividend Yield %,ROE %,Debt/Equity,52W High,52W Low
360ONE,360ONE.NS,360 One Wam Limited,Nifty Midcap 150,Mid,Financial Services,Asset Management,43606.0,1103.6,37.74,231.14,112.0,0.0,147.24,1273.8,790.5
3MINDIA,3MINDIA.NS,3M India Limited,Nifty Midcap 150,Mid,Industrials,Conglomerates,40188.0,37505.0,106.38,1429.57,45.0,0.0,6.42,38030.0,25730.0
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Nifty Smallcap 250,Small,Financial Services,Mortgage Finance,19634.0,458.95,19.42,159.38,0.0,0.0,255.35,547.8,367.1
AARTIIND,AARTIIND.NS,Aarti Industries Limited,Nifty Smallcap 250,Small,Basic Materials,Specialty Chemicals,15722.0,447.15,41.67,156.81,23.0,0.0,69.56,495.0,338.05
AAVAS,AAVAS.NS,Aavas Financiers Limited,Nifty Smallcap 250,Small,Financial Services,Mortgage Finance,9821.0,1285.6,15.82,591.21,0.0,0.0,307.97,2234.0,1222.0
ABB,ABB.NS,ABB India Limited,Nifty Next 50,Large,Industrials,Specialty Industrial Machinery,126792.0,6073.0,75.75,369.85,66.0,22.39,1.08,6260.0,4637.5
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,Nifty Midcap 150,Mid,Healthcare,Drug Manufacturers - Specialty & Generic,56959.0,26530.0,37.31,1887.48,177.0,0.0,4.55,37000.0,26000.0
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,Nifty Midcap 150,Mid,Financial Services,Financial Conglomerates,88519.0,344.45,25.52,123.04,0.0,0.0,459.78,369.3,149.85
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,Nifty Smallcap 250,Small,Consumer Cyclical,Apparel Manufacturing,8021.0,66.93,0.0,51.53,0.0,0.0,84.68,295.7,59.8
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Nifty Smallcap 250,Small,Consumer Cyclical,Apparel Retail,12260.0,102.08,0.0,10.62,0.0,0.0,266.81,175.0,97.3
